Word_Count,Word,index,X1,Y1,X2,Y2
1,NO.6.,3,122,70,164,71
2,IANDEESWARAM,5,174,71,299,73
3,MAIN,7,308,73,346,74
4,RDAD,9,355,74,387,75
5,user,11,83,119,121,120
6,la:,13,124,120,148,120
7,ANTONY.J,15,161,120,237,121
8,PH:22433444.22434000.42022999,17,51,133,331,136
9,CREDIE,19,170,153,250,153
10,CARD-BI,21,265,153,368,153
11,Date:23/09/2017,23,278,169,423,169
12,B111,25,49,169,86,169
13,No,27,95,169,117,169
14,CC24056,29,146,169,224,169
15,counter:CLI1,31,49,187,165,187
16,Time:3:21:38,33,255,187,372,185
17,PM,35,382,187,402,187
18,Particulars,37,47,223,158,223
19,Rate,39,281,224,320,224
20,Qty,41,338,224,368,224
21,Amount,43,399,222,458,221
22,TOILET,45,48,259,106,259
23,DESCAL,47,117,260,175,260
24,ER,49,178,260,198,260
25,500M,51,209,260,249,260
26,40.00,53,275,260,324,260
27,1.00,55,344,259,382,259
28,40.00,57,414,258,465,258
29,MODERN,59,44,279,105,279
30,FAMILY,61,116,279,178,279
31,SANDWI,63,188,279,246,279
32,30.00,65,274,279,324,279
33,1.00,67,344,279,382,279
34,30.00,69,414,278,466,278
35,LATTA,71,42,299,94,299
36,RING,73,105,298,146,298
37,MURUKKU,75,157,299,228,299
38,2,77,239,298,248,298
39,47.00,79,274,298,325,298
40,1.00,81,345,298,383,298
41,47.00,83,415,297,467,297
42,GODREJ,85,41,318,104,318
43,AER,87,115,317,145,317
44,POCKET,89,156,317,216,317
45,BA,91,228,317,248,317
46,54.00,93,275,317,325,317
47,2.00,95,343,316,383,316
48,108.00,97,407,316,466,316
49,INDICA,99,43,337,103,337
50,CREME,101,115,337,166,337
51,HAIR,103,177,336,217,336
52,CO,105,229,336,248,336
53,34.00,107,275,336,325,336
54,1.00,109,345,336,384,336
55,34.00,111,415,336,467,336
56,NESTLE,113,38,356,102,356
57,",",115,108,357,111,357
58,MUNCH,117,114,357,166,357
59,MAHA,119,177,356,218,356
60,15,121,231,355,249,355
61,5.00,123,285,355,326,355
62,2.00,125,344,355,385,355
63,10.00,127,418,355,468,355
64,I,129,31,397,36,397
65,tems:,131,40,398,91,397
66,6.00,133,104,397,147,396
67,Tot,135,185,396,213,396
68,Qty:,137,227,396,266,396
69,8.00,139,287,395,329,394
70,269.00,141,407,394,469,394
71,CREDIT,143,206,436,267,436
72,CARD,145,281,436,323,436
73,AMT,147,335,435,364,435
74,269.00,149,398,435,461,435
75,BILLED,151,138,458,201,457
76,CHECKED,153,233,457,311,456
77,DELIVERED,155,339,455,437,454
78,Thank,157,250,479,303,479
79,You,159,315,479,347,479
80,Goods,161,40,503,94,502
81,once,163,106,505,149,505
82,sold,165,161,502,205,501
83,can,167,216,504,249,504
84,not,169,260,500,290,500
85,be,171,304,502,325,502
86,taken,173,339,501,391,500
87,back,175,402,499,443,499
88,Exchange,177,39,524,127,523
89,within,179,138,525,206,524
90,7,181,218,523,227,523
91,Days,183,239,524,283,524
92,for,185,297,522,327,522
93,with,187,39,546,83,546
94,Bi11,189,94,546,135,546
95,&,191,150,547,160,547
96,price,193,172,546,228,546
97,tag,195,240,546,272,546
98,inact.,197,286,544,345,544
99,unused,199,338,522,403,521
100,product,201,413,518,486,517
101,o,203,51,570,60,570
102,Guarantee,205,72,568,171,566
103,for,207,186,567,216,566
104,&,209,228,567,238,567
105,imported,211,253,565,338,564
106,items.,213,352,563,410,562
