|Word_Count|Word|X1|Y1|X2|Y2
1|1|Amma|93|47|166|47
2|2|Supermarket|188|41|391|41
3|3|New|160|75|187|75
4|4|No.|198|76|223|76
5|5|10,0ld|225|74|282|74
6|6|No.|292|75|317|75
7|7|16,|322|74|346|74
8|8|Lakshni|141|95|204|95
9|9|Nagar|217|96|261|96
10|10|Main|273|95|311|95
11|11|Road|320|95|358|95
12|12|Ve|208|116|224|116
13|13|lachery|225|116|291|116
14|14|Chennai|189|136|252|136
15|15|-600042|259|137|321|137
16|16|Phone:|169|157|233|157
17|17|9003|245|157|283|157
18|18|158468|285|158|340|158
19|19|GSTIN:|26|199|81|199
20|20|33AAVFA|93|199|159|199
21|21|14648120|162|199|236|199
22|22|BILL|237|220|273|221
23|23|8ill|23|237|60|237
24|24|No.|73|241|99|241
25|25|:|115|245|119|245
26|26|2017/C1/091017|132|241|264|241
27|27|Date&Time:|22|259|119|259
28|28|20/01/2018|132|263|227|263
29|29|06:15:24|236|263|313|263
30|30|PM|322|263|341|263
31|31|Product|19|300|88|302
32|32|Name|100|302|140|303
33|33|ID|19|346|37|346
34|34|IDLY&DOSA|48|346|139|346
35|35|BATTER1|149|347|225|347
36|36|65.00|266|347|315|347
37|37|Rate|274|304|310|304
38|38|ty|328|304|389|304
39|39|Value|403|304|474|304
40|40|165.00|385|348|474|348
41|41|GODREJ|16|368|77|368
42|42|SHAV|89|369|128|369
43|43|CR|138|369|158|369
44|44|COUL|168|369|202|369
45|45|ME|218|370|235|370
46|46|25.001|266|369|392|369
47|47|25.00|431|370|478|370
48|48|1|388|390|393|390
49|49|24.00|405|390|478|390
50|50|AROKYA|16|390|77|391
51|51|MILK|88|391|127|391
52|52|24.00|266|390|315|388
53|53|3.000|346|436|396|435
54|54|114.00|427|436|477|435
55|55|B111|12|481|87|481
56|56|Amount|102|481|225|481
57|57|Received|11|505|94|505
58|58|Amount|114|505|174|505
59|59|Balance|9|529|81|528
60|60|Amount|103|529|164|528
61|61|114.0o0|321|480|422|476
62|62|120.00|369|503|421|498
63|63|6.00|383|522|419|519
64|64|a|144|589|160|588
65|65|caiu|164|588|201|587
66|66|.|201|593|206|593
67|67|UISIL|217|591|272|589
68|68|AGAIN|275|587|325|585
69|69|!|337|586|341|586
70|70|!|347|586|350|586
